Brightness,Reference_Time,Input_Force,FSR_Force,Pressure,FSR_mv,FSR
135.355355,135239,0,0.052096102,0.072161962,13.69628906,272
135.723323,135243,0,0.052673113,0.07296122,13.84735107,275
135.969069,135237,0,0.054596864,0.075625944,14.35089111,285
137.182683,135240,0,0.056521206,0.078291484,14.85443115,295
137.602803,135242,0,0.056713673,0.078558083,14.90478516,296
137.814815,135238,0,0.058253618,0.080691169,15.30761719,304
137.994244,135241,0,0.061142034,0.084692116,16.06292725,319
138.053453,135244,0,0.062297772,0.08629301,16.36505127,325
138.416416,135236,0,0.062875721,0.087093568,16.51611328,328
141.257257,135252,0.49,0.371193791,0.514166537,95.16906738,1890
141.408408,135248,0.49,0.377668438,0.523135025,96.78039551,1922
142.114815,135247,0.49,0.38009811,0.526500534,97.38464355,1934
142.927427,135250,0.49,0.392260237,0.543347149,100.4058838,1994
143.016016,135246,0.49,0.400787402,0.555158722,102.520752,2036
143.388388,135254,0.49,0.402209692,0.557128837,102.87323,2043
144.170671,135253,0.49,0.403225806,0.558536327,103.125,2048
144.565966,135251,0.49,0.405258515,0.561351974,103.62854,2058
144.82032,135249,0.49,0.409732728,0.567549521,104.7363281,2080
187.655656,135263,0.98,0.795679553,1.10215152,197.4884033,3922
191.101101,135257,0.98,0.800212687,1.108430681,198.5458374,3943
191.875876,135259,0.98,0.809072004,1.120702342,200.6103516,3984
192.025826,135261,0.98,0.811234604,1.123697911,201.1138916,3994
192.224224,135258,0.98,0.811883521,1.124596771,201.2649536,3997
192.872873,135264,0.98,0.817077136,1.131790811,202.4734497,4021
193.073874,135260,0.98,0.821408245,1.137790134,203.4805298,4041
193.238138,135262,0.98,0.826175719,1.144393897,204.5883179,4063
205.156156,135256,0.98,0.8270429,1.145595089,204.7897339,4067
205.474475,135309,1.96,1.559416136,2.160056593,366.0232544,7269
206.085085,135312,1.96,1.56955775,2.174104453,368.1381226,7311
206.976977,135313,1.96,1.576568836,2.183816,369.5983887,7340
207.31031,135310,1.96,1.590611992,2.203268159,372.5189209,7398
207.80981,135308,1.96,1.590854361,2.203603882,372.5692749,7399
208.067668,135306,1.96,1.597158886,2.21233672,373.878479,7425
208.363363,135311,1.96,1.607112106,2.226123624,375.9429932,7466
208.827227,135307,1.96,1.607840942,2.227133186,376.0940552,7469
209.267267,135314,1.96,1.617809258,2.240940999,378.1585693,7510
213.019019,135324,2.94,2.297955165,3.183058768,512.4526978,10177
213.955956,135317,2.94,2.310261602,3.200105276,514.7689819,10223
214.156156,135319,2.94,2.315350671,3.207154502,515.725708,10242
214.64965,135323,2.94,2.326344271,3.222382508,517.7902222,10283
214.938238,135321,2.94,2.329564997,3.226843761,518.3944702,10295
215.079079,135316,2.94,2.341924087,3.243963203,520.7107544,10341
215.932933,135318,2.94,2.342192992,3.244335682,520.7611084,10342
221.50951,135322,2.94,2.352418595,3.258499881,522.6745605,10380
224.831832,135320,2.94,2.364546098,3.275298536,524.9404907,10425
243.525525,135332,3.92,3.12553646,4.329399626,660.0906372,13109
243.731732,135330,3.92,3.133886143,4.340965357,661.5005493,13137
244.948949,135327,3.92,3.144933349,4.356267616,663.3636475,13174
246.58959,135333,3.92,3.146427412,4.358337147,663.6154175,13179
246.80981,135329,3.92,3.14792176,4.360407074,663.8671875,13184
249.081782,135326,3.92,3.155996178,4.371591516,665.2267456,13211
249.319319,135328,3.92,3.163779422,4.382372633,666.5359497,13237
249.922923,135331,3.92,3.169771801,4.390673097,667.5430298,13257
250.514514,135334,3.92,3.171870217,4.393579761,667.8955078,13264
,,,,,0,
