Brightness,Reference_Time,Input_Force,FSR_Force,Pressure,FSR_mv,FSR
126.10331,210647,0,0.051326837,0.0710964,13.49487305,268
126.57895,210650,0,0.055174105,0.07642552,14.50195313,288
126.9,210645,0,0.05613629,0.077758311,14.75372314,293
127.2573,210643,0,0.058253618,0.080691169,15.30761719,304
127.55166,210646,0,0.058253618,0.080691169,15.30761719,304
127.6277,210649,0,0.059986508,0.083091517,15.76080322,313
128.53606,210648,0,0.060371659,0.083625017,15.86151123,315
128.9917154,210642,0,0.060949431,0.084425329,16.01257324,318
129.37,210644,0,0.062105134,0.086026174,16.31469727,324
141.196881,210652,0.49,0.372609563,0.516127623,95.52154541,1897
141.40351,210653,0.49,0.381110744,0.527903205,97.63641357,1939
141.97076,210656,0.49,0.393274785,0.54475247,100.6576538,1999
143.1131,210657,0.49,0.401600101,0.556284449,102.722168,2040
143.8736842,210655,0.49,0.403225806,0.558536327,103.125,2048
143.921832,210658,0.49,0.405055215,0.56107037,103.578186,2057
144.6218,210660,0.49,0.405461821,0.561633588,103.678894,2059
144.91189,210659,0.49,0.4070885,0.563886815,104.0817261,2067
145.469,210654,0.49,0.410546555,0.568676809,104.9377441,2084
179.1423,210705,0.98,0.799780826,1.107832481,198.4451294,3941
179.3362573,210709,0.98,0.804965,1.115013443,199.6536255,3965
179.504873,210710,0.98,0.809288233,1.121001855,200.6607056,3985
180.122807,210707,0.98,0.813614276,1.126994161,201.6677856,4005
180.717349,210703,0.98,0.815994798,1.13029159,202.2216797,4016
182.2027,210706,0.98,0.81751012,1.132390568,202.5741577,4023
182.846,210711,0.98,0.821624874,1.138090202,203.5308838,4042
183.0818713,210708,0.98,0.82184151,1.138390281,203.5812378,4043
185.3458,210704,0.98,0.826392504,1.144694181,204.6386719,4064
294.8811,210717,1.96,1.560622704,2.161727895,366.2750244,7274
195.9844,210718,1.96,1.560864043,2.16206219,366.3253784,7275
198.67057,210716,1.96,1.562553644,2.164402575,366.6778564,7282
198.9041,210720,1.96,1.562553644,2.164402575,366.6778564,7282
199.197466,210713,1.96,1.563277884,2.16540577,366.8289185,7285
199.2536062,210721,1.96,1.574875866,2.181470947,369.2459106,7333
199.4330604,210714,1.96,1.579714006,2.188172595,370.2529907,7353
199.8996101,210719,1.96,1.599827883,2.216033736,374.432373,7436
199.9493177,210715,1.96,1.618052564,2.241278018,378.2089233,7511
204.2797271,210726,2.94,2.298489803,3.183799331,512.5534058,10179
204.48265,210725,2.94,2.309993853,3.199734398,514.7186279,10222
204.643275,210729,2.94,2.314011103,3.205298973,515.473938,10237
205.8469786,210730,2.94,2.319907014,3.213465812,516.5817261,10259
206.705653,210727,2.94,2.331175885,3.229075115,518.6965942,10301
206.83778,210723,2.94,2.336548039,3.236516463,519.7036743,10321
207.4424951,210728,2.94,2.351880054,3.25775391,522.5738525,10378
207.7417154,210731,2.94,2.355381268,3.262603687,523.2284546,10391
207.9512671,210724,2.94,2.368593001,3.280904185,525.6958008,10440
209.3781676,210732,3.92,3.12583451,4.329812475,660.1409912,13110
209.6062378,210734,3.92,3.130604846,4.336420203,660.9466553,13126
210.054581,210737,3.92,3.130903089,4.33683332,660.9970093,13127
210.374269,210739,3.92,3.132096174,4.338485945,661.1984253,13131
210.5031189,210735,3.92,3.142543441,4.352957187,662.9608154,13166
210.762183,210740,3.92,3.143738303,4.354612275,663.1622314,13170
210.8784795,210733,3.92,3.156594614,4.372420452,665.3274536,13213
211.0565,210736,3.92,3.164977531,4.384032218,666.7373657,13241
211.3,210738,3.92,3.174569007,4.397318043,668.3486938,13273
